Date,Open,High,Low,Close,Adj Close,Volume
2021-02-25,205.740005,206.380005,200.000000,200.880005,188.258102,7581100
2021-02-26,201.990005,202.690002,198.550003,200.080002,187.508362,6324600
2021-03-01,203.149994,205.850006,203.070007,205.220001,192.325378,4691800
2021-03-02,205.500000,205.550003,203.169998,203.289993,190.516647,4859000
2021-03-03,203.220001,203.539993,200.179993,200.360001,187.770752,4334000
2021-03-04,200.039993,201.240005,194.520004,197.190002,184.799927,7198800
2021-03-05,199.369995,201.210007,194.110001,200.750000,188.136261,6614800
2021-03-08,201.440002,202.889999,199.570007,199.770004,187.217834,4281400
2021-03-09,202.229996,204.350006,201.710007,202.869995,190.123062,4116100
2021-03-10,204.550003,205.270004,203.610001,204.320007,191.481949,4133800
2021-03-11,206.080002,207.830002,205.710007,206.990005,193.984192,4102700
2021-03-12,206.160004,207.460007,205.550003,207.399994,194.368408,4069000
2021-03-15,207.729996,208.899994,206.389999,208.850006,195.727310,3421900
2021-03-16,209.139999,209.300003,207.360001,208.009995,194.940063,4599900
2021-03-17,207.309998,209.289993,206.360001,208.800003,195.680466,3347000
2021-03-18,207.449997,208.440002,204.770004,205.000000,192.119232,3641900
2021-03-19,205.139999,206.149994,203.570007,205.259995,192.362869,3871000
2021-03-22,205.880005,207.259995,205.380005,206.369995,193.403107,3603900
2021-03-23,206.190002,206.440002,203.639999,204.020004,191.200806,4764800
2021-03-24,205.169998,205.850006,202.330002,202.330002,189.616989,4014500
2021-03-25,200.919998,203.660004,199.500000,203.149994,191.019852,4976800
2021-03-26,204.110001,206.639999,203.240005,206.470001,194.141678,3554900
2021-03-29,205.589996,206.360001,204.240005,205.500000,193.229599,4562900
2021-03-30,205.169998,205.889999,204.289993,205.440002,193.173141,3960500
2021-03-31,206.050003,207.619995,206.000000,206.690002,194.348511,5494800
2021-04-01,207.990005,209.300003,207.559998,209.279999,196.783859,4543300
2021-04-05,210.850006,211.960007,210.559998,211.720001,199.078171,5941400
2021-04-06,211.690002,212.490005,211.410004,211.800003,199.153397,4029900
2021-04-07,211.789993,212.119995,211.089996,211.619995,198.984146,3299100
2021-04-08,212.539993,212.850006,211.770004,212.850006,200.140701,3628900
2021-04-09,212.850006,214.250000,212.619995,214.139999,201.353653,3559100
2021-04-12,214.059998,214.369995,213.330002,214.199997,201.410080,3882800
2021-04-13,214.360001,215.279999,214.000000,214.800003,201.974274,4056900
2021-04-14,215.059998,215.869995,214.039993,214.320007,201.522919,3765600
2021-04-15,215.729996,216.669998,215.460007,216.600006,203.666824,5439600
2021-04-16,217.460007,217.470001,216.320007,217.149994,204.183914,4306000
2021-04-19,216.729996,216.910004,215.000000,215.729996,202.848740,3986900
2021-04-20,215.220001,215.539993,212.919998,213.750000,200.986954,5210300
2021-04-21,213.649994,216.330002,213.250000,216.300003,203.384705,3167900
2021-04-22,216.449997,217.039993,213.880005,214.610001,201.795593,4394800
2021-04-23,215.080002,217.869995,214.970001,217.210007,204.240356,4374300
2021-04-26,217.740005,218.270004,217.449997,218.000000,204.983185,3202500
2021-04-27,218.300003,218.330002,217.350006,217.899994,204.889175,2670000
2021-04-28,218.070007,218.639999,217.619995,217.869995,204.860962,2603900
2021-04-29,219.600006,219.649994,216.940002,218.699997,205.641373,4178800
2021-04-30,217.509995,218.169998,216.750000,217.100006,204.136932,3256600
2021-05-03,218.570007,218.570007,217.300003,217.479996,204.494232,3846300
2021-05-04,216.479996,216.539993,213.809998,215.850006,202.961609,4900000
2021-05-05,216.940002,216.940002,215.279999,215.809998,202.923950,2032600
2021-05-06,215.779999,216.949997,214.080002,216.910004,203.958252,4131200
2021-05-07,217.399994,218.990005,217.100006,218.750000,205.688416,3868100
2021-05-10,218.889999,218.899994,216.050003,216.179993,203.271851,4443800
2021-05-11,213.289993,214.910004,212.020004,214.440002,201.635742,5959900
2021-05-12,212.940002,213.630005,209.210007,209.610001,197.094131,5788400
2021-05-13,210.380005,212.919998,210.330002,211.919998,199.266220,4970900
2021-05-14,213.550003,215.960007,213.500000,215.539993,202.670090,4292600
2021-05-17,214.899994,215.380005,213.740005,215.080002,202.237549,4063200
2021-05-18,215.250000,215.630005,213.339996,213.399994,200.657837,3173100
2021-05-19,210.570007,212.779999,209.750000,212.779999,200.074875,6015000
2021-05-20,213.210007,215.660004,213.179993,215.089996,202.246933,3478300
2021-05-21,216.080002,216.740005,214.710007,214.970001,202.134109,3623300
2021-05-24,216.240005,217.699997,215.919998,217.139999,204.174545,2873700
2021-05-25,217.839996,218.020004,216.199997,216.539993,203.610367,3700600
2021-05-26,216.979996,217.559998,216.479996,217.320007,204.343811,3258100
2021-05-27,218.000000,218.240005,217.589996,217.720001,204.719894,2617200
2021-05-28,218.600006,218.729996,218.029999,218.089996,205.067764,2635700
2021-06-01,219.529999,219.529999,217.809998,218.179993,205.152451,3805700
2021-06-02,218.619995,218.820007,217.889999,218.470001,205.425125,3599400
2021-06-03,217.300003,218.050003,216.080002,217.500000,204.513062,2967000
2021-06-04,218.570007,219.479996,218.460007,219.389999,206.290192,2287100
2021-06-07,219.550003,219.679993,219.029999,219.570007,206.459442,2762800
2021-06-08,220.029999,220.279999,218.660004,220.020004,206.882584,2831700
2021-06-09,220.410004,220.500000,219.350006,219.399994,206.299606,2688600
2021-06-10,220.210007,220.899994,219.190002,220.369995,207.211685,2936700
2021-06-11,220.779999,221.020004,220.130005,221.020004,207.822876,2837200
2021-06-14,221.199997,221.389999,220.380005,221.360001,208.142578,3189400
2021-06-15,221.490005,221.529999,220.169998,220.779999,207.597183,3094000
2021-06-16,220.970001,220.970001,218.380005,219.679993,206.562851,3459600
2021-06-17,219.440002,220.059998,217.949997,219.470001,206.365433,3002900
2021-06-18,217.990005,218.149994,216.529999,216.750000,203.807861,4538300
2021-06-21,217.669998,219.800003,217.080002,219.740005,206.619308,3870000
2021-06-22,219.850006,221.350006,219.179993,220.990005,207.794662,2684300
2021-06-23,221.100006,221.589996,220.809998,220.899994,207.710037,2662200
2021-06-24,221.509995,221.869995,221.289993,221.720001,209.120071,2931600
2021-06-25,222.259995,222.699997,221.910004,222.550003,209.902924,2801300
2021-06-28,222.990005,222.990005,221.860001,222.800003,210.138763,3094900
2021-06-29,223.309998,223.399994,222.470001,222.809998,210.148132,4068000
2021-06-30,222.690002,223.149994,222.460007,222.820007,210.157578,3041700
2021-07-01,223.399994,224.059998,223.100006,224.029999,211.298782,3836000
2021-07-02,224.710007,225.410004,224.309998,225.270004,212.468369,3026400
2021-07-06,225.380005,225.520004,223.160004,224.779999,212.006180,4147200
2021-07-07,225.080002,225.360001,223.520004,225.080002,212.289139,4042200
2021-07-08,221.929993,223.720001,221.139999,223.179993,210.497086,4486100
2021-07-09,224.160004,225.979996,224.020004,225.880005,213.043686,3886600
2021-07-12,225.949997,226.610001,225.470001,226.509995,213.637878,3294600
2021-07-13,226.100006,226.520004,225.119995,225.250000,212.449463,4668400
2021-07-14,226.270004,226.460007,224.419998,224.940002,212.157074,2830200
2021-07-15,224.449997,224.759995,222.860001,224.149994,211.411972,3276500
2021-07-16,225.000000,225.000000,222.190002,222.389999,209.751999,3203300
2021-07-19,219.809998,219.809998,217.820007,219.229996,206.771576,6966200
2021-07-20,219.949997,223.710007,219.389999,223.020004,210.346207,5362900
2021-07-21,223.750000,225.020004,223.550003,225.020004,212.232544,2542500
2021-07-22,225.199997,225.350006,224.179993,225.210007,212.411713,2236200
2021-07-23,226.250000,227.610001,225.830002,227.460007,214.533875,2982700
2021-07-26,227.250000,227.919998,227.130005,227.919998,214.967728,2849700
2021-07-27,227.380005,227.429993,224.979996,226.690002,213.807693,4169600
2021-07-28,227.119995,227.809998,226.190002,227.039993,214.137726,3306700
2021-07-29,227.580002,228.750000,227.580002,228.039993,215.080933,2960900
2021-07-30,226.570007,227.919998,226.399994,226.690002,213.807693,2846800
2021-08-02,227.850006,228.100006,226.190002,226.369995,213.505829,3558100
2021-08-03,226.830002,228.000000,225.279999,227.990005,215.033752,3245400
2021-08-04,227.190002,227.690002,226.750000,226.970001,214.071701,3374500
2021-08-05,227.520004,228.600006,227.240005,228.589996,215.599686,2461700
2021-08-06,228.929993,229.309998,228.389999,228.869995,215.863739,2343100
2021-08-09,228.860001,229.039993,228.020004,228.779999,215.778854,3295500
2021-08-10,229.000000,229.309998,228.509995,228.929993,215.920349,2946700
2021-08-11,229.440002,229.490005,228.410004,229.380005,216.344772,3051400
2021-08-12,229.350006,230.020004,228.770004,230.020004,216.948425,2746000
2021-08-13,230.229996,230.250000,229.759995,230.149994,217.071014,2516000
2021-08-16,229.479996,230.250000,228.279999,230.240005,217.155899,3193200
2021-08-17,228.720001,229.039993,226.779999,228.529999,215.543091,3735100
2021-08-18,228.110001,228.830002,226.059998,226.250000,213.392624,3194100
2021-08-19,224.720001,226.820007,224.399994,226.080002,213.232330,3964500
2021-08-20,226.320007,228.190002,226.020004,228.110001,215.146912,2655100
2021-08-23,229.070007,230.740005,228.779999,230.320007,217.231354,3180600
2021-08-24,230.860001,231.410004,230.669998,231.139999,218.004745,2772300
2021-08-25,231.389999,232.020004,230.979996,231.800003,218.627243,2897000
2021-08-26,231.619995,231.789993,230.160004,230.250000,217.165329,3352000
2021-08-27,230.800003,232.940002,230.669998,232.729996,219.504395,3749800
2021-08-30,233.220001,233.970001,232.800003,233.610001,220.334396,3194000
2021-08-31,233.559998,233.630005,232.770004,233.169998,219.919342,3099400
2021-09-01,233.820007,234.210007,233.250000,233.580002,220.306076,3533100
2021-09-02,234.309998,234.649994,233.679993,234.369995,221.051208,3274600
2021-09-03,234.000000,234.500000,233.630005,234.289993,220.975769,2484200
2021-09-07,234.289993,234.300003,233.020004,233.279999,220.023163,3256800
2021-09-08,233.009995,233.259995,231.589996,232.729996,219.504395,3027600
2021-09-09,232.669998,233.649994,231.750000,231.919998,218.740417,3265900
2021-09-10,233.029999,233.190002,229.960007,230.080002,217.005005,3385600
2021-09-13,231.509995,231.740005,229.330002,230.600006,217.495453,3312700
2021-09-14,231.410004,231.490005,228.619995,229.210007,216.184418,3158900
2021-09-15,229.419998,231.339996,228.720001,231.100006,217.967041,2598900
2021-09-16,230.940002,231.520004,229.300003,230.889999,217.768951,2537200
2021-09-17,230.539993,230.830002,228.649994,229.039993,216.024063,3078200
2021-09-20,225.509995,226.309998,222.309998,225.070007,212.279694,7749300
2021-09-21,226.509995,227.029999,224.460007,225.050003,212.260834,4564400
2021-09-22,226.330002,228.429993,225.830002,227.320007,214.401840,4187300
2021-09-23,228.440002,230.949997,228.050003,230.089996,217.014404,3778100
2021-09-24,228.550003,229.949997,228.190002,229.639999,217.273682,3122800
2021-09-27,229.160004,229.869995,228.509995,229.139999,216.800583,2856700
2021-09-28,227.649994,227.789993,224.050003,224.339996,212.259064,5078600
2021-09-29,225.220001,225.990005,224.279999,224.490005,212.400986,4585500
2021-09-30,225.350006,228.399994,221.940002,222.059998,210.101837,5080200
2021-10-01,223.100006,225.630005,221.020004,225.119995,212.997040,5148600
2021-10-04,224.240005,224.399994,220.539993,221.729996,209.789612,4984000
2021-10-05,222.429993,224.990005,222.100006,223.800003,211.748169,3568200
2021-10-06,221.889999,224.809998,220.979996,224.729996,212.628098,3076000
2021-10-07,226.500000,228.360001,226.110001,226.889999,214.671783,3081300
2021-10-08,227.399994,227.550003,226.020004,226.389999,214.198685,1922600
2021-10-11,226.070007,227.589996,224.679993,224.759995,212.656479,2354900
2021-10-12,225.309998,225.699997,224.160004,224.600006,212.505081,2898400
2021-10-13,225.169998,226.029999,223.649994,225.619995,213.470123,3179500
2021-10-14,227.710007,229.429993,227.500000,229.369995,217.018219,2688800
2021-10-15,230.690002,231.160004,230.270004,230.729996,218.304962,2717900
2021-10-18,230.070007,231.660004,229.449997,231.570007,219.099762,3078300
2021-10-19,232.500000,233.279999,232.110001,233.259995,220.698761,2683100
2021-10-20,233.550003,234.350006,233.389999,234.169998,221.559708,2838400
2021-10-21,233.910004,234.949997,233.669998,234.809998,222.165237,2839800
2021-10-22,234.600006,235.309998,233.320007,234.360001,221.739487,2144500
2021-10-25,235.070007,235.960007,234.100006,235.800003,223.101974,2170100
2021-10-26,236.649994,237.190002,235.460007,235.710007,223.016815,2759900
2021-10-27,236.050003,236.080002,233.990005,234.100006,221.493484,3409600
2021-10-28,234.940002,236.600006,234.779999,236.600006,223.858841,2104900
2021-10-29,235.479996,237.130005,235.369995,236.910004,224.152161,3565900
2021-11-01,237.750000,238.119995,236.720001,238.089996,225.268646,3967500
2021-11-02,238.320007,238.929993,237.910004,238.830002,225.968811,4004800
2021-11-03,238.690002,240.729996,238.300003,240.520004,227.567780,3704400
2021-11-04,241.029999,241.800003,240.529999,241.429993,228.428741,3557000
2021-11-05,242.750000,243.509995,241.389999,242.360001,229.308685,3919400
2021-11-08,243.169998,243.559998,242.429993,242.759995,229.687134,3401400
2021-11-09,243.039993,243.139999,241.190002,242.059998,229.024841,2764100
2021-11-10,241.139999,241.960007,238.729996,239.679993,226.773026,3356500
2021-11-11,240.669998,240.759995,239.960007,239.970001,227.047379,2277100
2021-11-12,240.639999,242.039993,240.210007,241.750000,228.731537,2419900
2021-11-15,242.440002,242.669998,241.139999,241.750000,228.731537,3630500
2021-11-16,241.660004,243.330002,241.410004,242.789993,229.715530,2947400
2021-11-17,242.600006,242.600006,241.429993,241.789993,228.769379,2809000
2021-11-18,242.300003,242.440002,240.520004,242.169998,229.128906,3507700
2021-11-19,242.089996,242.619995,241.330002,241.479996,228.476059,3353800
2021-11-22,242.339996,243.600006,240.250000,240.320007,227.378540,3902900
2021-11-23,240.100006,241.100006,238.240005,240.399994,227.454224,3826200
2021-11-24,239.139999,241.210007,238.630005,241.210007,228.220642,2195400
2021-11-26,237.240005,238.100006,234.940002,235.990005,223.281723,5730300
2021-11-29,238.479996,239.279999,236.520004,238.210007,225.382156,4789200
2021-11-30,236.990005,237.729996,233.100006,233.449997,220.878479,7231400
2021-12-01,236.410004,237.869995,229.880005,230.160004,217.765671,5274700
2021-12-02,230.210007,234.679993,230.089996,233.899994,221.304260,4257400
2021-12-03,234.830002,235.270004,229.020004,231.190002,218.740189,5821900
2021-12-06,232.610001,235.179993,230.949997,234.160004,221.550278,4210600
2021-12-07,237.559998,239.699997,237.339996,239.169998,226.290451,4284700
2021-12-08,239.570007,240.380005,238.639999,240.199997,227.264999,3417400
2021-12-09,239.520004,239.899994,237.779999,237.910004,225.098373,2853800
2021-12-10,239.419998,239.869995,237.570007,239.529999,226.631104,2610800
2021-12-13,239.500000,239.600006,237.139999,237.350006,224.568497,5839100
2021-12-14,235.449997,236.860001,234.050003,235.570007,222.884338,3360400
2021-12-15,235.559998,239.250000,233.850006,239.199997,226.318817,3720700
2021-12-16,240.289993,240.490005,235.660004,236.520004,223.783188,3876100
2021-12-17,235.000000,237.160004,233.339996,235.440002,222.761337,4455100
2021-12-20,232.100006,232.350006,230.070007,232.130005,219.629578,5839800
2021-12-21,234.190002,236.839996,233.220001,236.679993,223.934540,4158800
2021-12-22,236.630005,239.100006,236.550003,239.020004,226.148529,3202900
2021-12-23,239.869995,241.360001,239.500000,240.669998,227.709686,2925100
2021-12-27,240.479996,242.960007,240.339996,242.960007,230.699783,4395100
2021-12-28,243.059998,243.779999,242.039993,242.460007,230.225021,3960900
2021-12-29,242.550003,243.160004,241.710007,242.600006,230.357956,3044300
2021-12-30,243.110001,243.690002,242.000000,242.210007,229.987640,4501500
2021-12-31,242.089996,242.690002,241.440002,241.440002,229.256500,3499900
2022-01-03,242.419998,242.970001,240.860001,242.970001,230.709274,4204000
2022-01-04,243.729996,244.059998,241.350006,242.509995,230.272507,4217000
2022-01-05,242.080002,242.660004,237.199997,237.250000,225.277924,4878300
2022-01-06,237.199997,238.770004,235.539993,237.190002,225.220947,4519200
